relief_aid_id,federal_payments,provincial_payments,provincial_department_payments,insurance_payments,event_id
1,0,0,0,0,1
2,0,0,0,0,2
3,0,0,0,0,3
4,12212000,0,12500000,0,4
5,0,0,300000000,0,5
6,19387000,0,0,0,6
7,0,0,55000000,0,7
8,13603000,0,16000000,0,8
9,13064000,0,0,0,9
10,0,0,0,0,10
11,0,0,0,214308000,11
12,0,0,0,0,12
13,0,0,0,940000000,13
14,1015742000,0,0,1700000000,14
15,10796000,0,0,0,15
16,0,0,0,0,16
17,0,0,0,0,17
18,0,0,0,0,18
19,0,0,0,0,19
20,0,0,0,0,20
21,0,0,0,0,21
22,0,0,0,0,22
23,0,0,0,0,23
24,1503748,0,0,0,24
25,0,0,0,241589000,25
26,0,0,0,0,26
27,0,0,0,0,27
28,0,0,0,0,28
29,0,0,0,0,29
30,0,0,0,0,30
31,0,0,0,0,31
32,0,0,0,0,32
33,0,0,0,33258000,33
34,0,0,0,0,34
35,0,0,0,0,35
36,0,0,0,38357000,36
37,0,0,0,0,37
38,0,0,0,0,38
39,0,0,0,0,39
40,699884000,0,0,0,40
41,81612000,0,0,0,41
42,5000000,0,0,0,42
43,0,0,0,0,43
44,26217000,0,0,0,44
45,4118000,0,0,0,45
46,85507690,0,0,0,46
47,3135000,0,0,0,47
48,37339000,0,220000000,0,48
49,112000,0,0,0,49
50,0,0,0,400000000,50
51,12881000,0,0,0,51
52,0,0,1000000,16000000,52
53,0,0,0,0,53
54,9572104,0,0,0,54
55,75320000,0,206350000,0,55
56,0,0,100000,123864,56
57,6021772,0,1710000,0,57
58,0,0,0,0,58
59,0,0,0,0,59
60,0,0,10000000,0,60
61,0,0,0,0,61
62,0,0,337716,144003,62
63,0,0,0,0,63
64,0,0,0,0,64
65,0,0,0,96183000,65
66,0,0,0,50000000,66
67,0,0,0,6000000,67
68,0,0,0,173312000,68
69,400000,4100000,0,0,69
70,0,0,0,0,70
71,0,0,0,0,71
72,59130,400000,0,0,72
73,81743529,17000000,0,0,73
74,0,0,0,40981000,74
75,626000,1374000,0,0,75
76,0,0,0,0,76
77,70006000,6500000,0,0,77
78,0,0,0,0,78
79,3591884,9600000,0,0,79
80,3591884,0,0,0,80
81,0,0,0,0,81
82,0,0,0,0,82
83,675103,0,0,0,83
84,1572759,0,0,0,84
85,851326,0,0,0,85
86,0,0,0,0,86
87,0,0,0,0,87
88,0,0,0,0,88
89,1499116,0,0,0,89
90,644956,0,0,0,90
91,0,0,0,0,91
92,0,0,0,0,92
93,0,0,0,0,93
94,0,0,0,0,94
95,0,0,0,0,95
96,0,0,0,0,96
97,0,0,0,0,97
98,0,0,0,0,98
99,0,0,0,0,99
100,0,0,0,0,100
101,0,0,0,172490000,101
102,4507509,0,0,0,102
103,0,0,0,0,103
104,21000000,0,0,0,104
105,0,0,0,0,105
106,0,0,0,0,106
107,1235000,6300000,0,0,107
108,314496,0,0,0,108
109,0,0,0,0,109
110,0,0,0,0,110
111,460000,0,0,0,111
112,0,0,0,0,112
113,0,0,0,0,113
114,0,0,0,0,114
115,0,0,0,0,115
116,0,0,0,0,116
117,0,0,0,0,117
118,0,0,0,0,118
119,0,0,0,0,119
120,0,0,0,0,120
121,0,0,0,0,121
122,0,0,0,0,122
123,1600000,5900000,0,0,123
124,0,0,0,0,124
125,0,0,0,0,125
126,0,0,0,0,126
127,812603,1925958,0,0,127
128,14149725,0,0,0,128
129,0,0,0,0,129
130,0,0,0,0,130
131,19073933,0,0,0,131
132,0,0,0,7063000,132
133,0,0,0,0,133
134,0,0,0,0,134
135,0,0,0,0,135
136,0,0,0,17607000,136
137,1183183,0,0,0,137
138,0,0,0,0,138
139,9600000,0,0,0,139
140,7496213,8900000,0,0,140
141,0,0,0,0,141
142,0,0,0,0,142
143,0,0,0,0,143
144,0,0,0,0,144
145,0,0,0,0,145
146,0,0,0,0,146
147,0,0,0,0,147
148,125800000,0,0,0,148
149,223990,0,0,0,149
150,0,0,0,0,150
151,0,0,0,0,151
152,0,0,0,0,152
153,0,0,0,0,153
154,0,0,0,0,154
155,0,0,0,0,155
156,0,0,0,0,156
157,0,0,0,0,157
158,0,0,0,0,158
159,0,0,0,0,159
160,0,0,0,0,160
161,0,0,0,0,161
162,0,0,0,0,162
163,0,0,0,0,163
164,0,0,0,0,164
165,3140829,0,0,0,165
166,0,0,0,0,166
167,0,0,0,0,167
168,3235813,0,0,0,168
169,7283952,0,0,0,169
170,0,0,0,6406000,170
171,0,0,0,0,171
172,0,0,0,0,172
173,0,0,0,500000000,173
174,497891,2100000,0,0,174
175,0,0,0,0,175
176,510004,937900,0,0,176
177,4337646,0,0,0,177
178,0,0,0,0,178
179,12678824,0,0,0,179
180,0,0,0,0,180
181,8958966,0,0,0,181
182,21065353,4420595,0,0,182
183,1869114,512791,0,0,183
184,0,0,0,0,184
185,0,0,0,0,185
186,0,0,0,0,186
187,0,0,464286,0,187
188,0,0,0,0,188
189,0,0,0,0,189
190,0,0,0,0,190
191,0,0,0,0,191
192,0,0,31014,0,192
193,0,0,0,0,193
194,0,0,0,0,194
195,8834091,7220091,0,0,195
196,3552493,2954305,2094671,0,196
197,0,0,6975854,0,197
198,0,0,0,0,198
199,0,0,19779,0,199
200,0,0,1300000,0,200
201,0,0,0,0,201
202,0,0,0,0,202
203,4353450,1668893,0,5720660,203
204,0,0,869596,0,204
205,0,0,0,0,205
206,0,0,0,143895000,206
207,0,0,0,0,207
208,449218,1389625,1939000,0,208
209,0,0,0,5481000,209
210,0,0,0,0,210
211,190216,3195115,0,0,211
212,885581,2031980,0,0,212
213,1580762,2206532,0,0,213
214,0,0,0,0,214
215,0,0,0,0,215
216,0,0,0,0,216
217,216978,0,0,0,217
218,3059340,2773532,301806,0,218
219,1834365,3077940,0,0,219
220,1022030,419337,0,0,220
221,2977089,5774363,0,0,221
222,317481,104842,0,0,222
223,7292493,3327956,97575000,0,223
224,345839,1371333,0,0,224
225,0,0,0,50000000,225
226,0,0,0,168469000,226
227,0,0,0,14025688,227
228,0,0,0,0,228
229,0,0,0,0,229
230,0,0,12044118,0,230
231,7246824,14570459,5924402,0,231
232,3550846,2085938,0,0,232
233,0,0,5109358,0,233
234,665387416,42560837,17661738,1712248000,234
235,0,0,974055,0,235
236,0,0,664352,0,236
237,15472238,10407813,0,0,237
238,193808836,23624696,0,232600000,238
239,18664180,8343702,20360612,0,239
240,0,0,1319475,0,240
241,653232,3932030,0,0,241
242,21771004,4110399,0,0,242
243,0,0,0,21308000,243
244,300000000,0,0,0,244
245,0,0,0,103000000,245
246,0,0,194537,0,246
247,5693853,5466769,6999175,0,247
248,0,0,131518,0,248
249,0,0,621641,8343840,249
250,4430930,2385447,0,0,250
251,0,0,100307,0,251
252,0,0,22413,0,252
253,1915497,5722996,11196729,0,253
254,0,0,0,17419000,254
255,0,0,235120,13118000,255
256,1274866,1387024,0,0,256
257,0,0,0,9018000,257
258,0,0,0,56910000,258
259,0,0,0,28103000,259
260,504871,202377,2725062,0,260
261,34061897,9324782,12672842,21893670,261
262,1685853,5469854,0,0,262
263,1685853,5469854,0,0,263
264,0,0,91585747,0,264
265,1816719,2388926,0,0,265
266,4784560,2787821,0,0,266
267,0,0,368160,0,267
268,0,0,35830,0,268
269,0,0,57478,0,269
270,0,0,0,7876000,270
271,0,0,5346201,8850000,271
272,0,0,246393,7540000,272
273,0,0,0,11155000,273
274,0,0,0,0,274
275,0,0,0,9074000,275
276,1944488,31903387,1681761,0,276
277,0,0,0,6799000,277
278,0,0,45995,0,278
279,0,0,0,14299000,279
280,0,0,613703,5890000,280
281,0,0,1675238,8342000,281
282,11555527,3763948,0,199487780,282
283,2935683,2802658,0,0,283
284,6500013,2349112,3808712,0,284
285,0,0,0,19866000,285
286,0,0,0,0,286
287,0,0,0,76000000,287
288,0,0,0,8945037,288
289,0,0,14434443,8087557,289
290,0,0,14434443,5735725,290
291,0,0,0,4738539,291
292,0,0,0,5337940,292
293,0,0,14434443,24061054,293
294,147321,81315,0,0,294
295,0,0,2866371,0,295
296,0,0,0,0,296
297,0,0,135289,0,297
298,0,0,219277,0,298
299,0,0,2000000,0,299
300,0,0,0,5982309,300
301,0,0,0,0,301
302,0,0,0,4396737,302
303,0,0,9289467,378440384,303
304,0,0,2206439,20645522,304
305,0,0,0,0,305
306,0,0,9280084,31107661,306
307,518222,28470,0,0,307
308,0,0,3682004,0,308
309,0,0,304756,0,309
310,0,0,0,28310657,310
311,0,0,115360,0,311
312,0,0,0,0,312
313,1029958,1297819,0,0,313
314,7343629,7053719,15029513,0,314
315,0,0,511000,0,315
316,0,0,1666667,0,316
317,0,0,0,0,317
318,0,0,7591444,0,318
319,0,0,3016404,16279000,319
320,4355578,5654135,8199134,0,320
321,8229503,6395393,7522440,0,321
322,0,0,204155713,0,322
323,0,0,536488,0,323
324,54716,3092202,0,0,324
325,0,0,0,13807000,325
326,14174906,4314956,0,0,326
327,852700,242078,0,0,327
328,0,0,0,0,328
329,20891999,17078667,0,0,329
330,11897256,15033752,0,0,330
331,156086,2544786,0,37127000,331
332,7787911,6008710,0,21500000,332
333,619569,1703568,0,0,333
334,19948463,12800496,0,148377000,334
335,6473041,13065640,0,44678000,335
336,0,0,0,24891000,336
337,5660456,2211828,0,0,337
338,9484477,8405330,0,0,338
339,6809368,6034596,0,0,339
340,0,0,0,45473000,340
341,0,0,0,0,341
342,908395,1984994,0,0,342
343,0,0,0,0,343
344,0,0,0,83992000,344
345,0,0,0,16390000,345
346,637747,3361365,0,0,346
347,301190,1355590,0,0,347
348,0,0,0,0,348
349,0,0,0,39066000,349
350,816031,1870434,0,0,350
351,1786357,1486262,0,0,351
352,605407,3424383,0,0,352
353,27739771,26091570,0,0,353
354,0,0,0,22060000,354
355,1121298,3107897,0,16385000,355
356,1384672,3059603,0,0,356
357,0,0,111591,0,357
358,0,0,0,0,358
359,3879494,2484696,0,0,359
360,0,0,0,0,360
361,46278,95134,0,0,361
362,1340291,244763,0,0,362
363,413342,159482,0,0,363
364,217888,2912259,0,0,364
365,0,0,0,0,365
366,0,0,22248,0,366
367,0,0,0,0,367
368,4328769,5814231,0,0,368
369,26635,2616035,0,0,369
370,1682054,171946,0,0,370
371,1545488,1682162,0,0,371
372,14670604,3886699,0,0,372
373,7372141,12715212,0,0,373
374,3037970,5239785,0,0,374
375,87859,1509741,0,0,375
376,3588601,1647178,0,0,376
377,0,0,0,0,377
378,3065714,4939786,0,0,378
379,2134809,2410294,0,0,379
380,155109,819891,0,0,380
381,530877,1416927,0,0,381
382,7582330,12917670,0,0,382
383,3065714,4939786,0,0,383
384,2067621,2070179,0,0,384
385,640274,2187948,0,0,385
386,493226,1400626,0,0,386
387,0,0,0,0,387
388,13473,129527,0,0,388
389,3540871,1610881,0,0,389
390,73470,727069,0,0,390
391,11464005,3059056,0,0,391
392,4246073,4285927,0,0,392
393,0,0,0,0,393
394,4151261,2460539,0,0,394
395,8670477,13094659,0,0,395
396,2314500,3015500,0,0,396
397,0,0,0,0,397
398,1662223,3637777,0,0,398
399,833229,1592771,0,0,399
400,1250000,0,0,0,400
401,75000,0,0,0,401
402,1550023,2186977,0,0,402
403,0,0,0,0,403
404,0,0,0,0,404
405,0,0,0,0,405
406,0,0,0,0,406
407,0,0,0,0,407
408,0,0,0,0,408
409,0,0,0,0,409
410,0,0,0,0,410
411,0,0,0,0,411
412,0,0,0,0,412
413,0,0,0,0,413
414,0,0,0,0,414
415,0,0,0,0,415
416,0,0,0,0,416
417,0,0,23207778,0,417
418,0,0,0,0,418
419,0,0,0,0,419
420,0,0,0,0,420
421,0,0,0,0,421
422,0,0,0,0,422
423,0,0,0,0,423
424,0,0,0,0,424
425,0,0,0,0,425
426,0,0,0,0,426
427,0,0,0,0,427
428,0,0,0,0,428
429,0,0,0,0,429
